academic_year,university,ownership,region,program_count,admitted_count,source_id,institution_source_id
113,國立彰化師範大學,公立,彰化縣,24,558,uac-113-program-results,moe-114-institution-directory
113,國立成功大學,公立,臺南市,51,1403,uac-113-program-results,moe-114-institution-directory
113,國立政治大學,公立,臺北市,52,1146,uac-113-program-results,moe-114-institution-directory
113,國立暨南國際大學,公立,南投縣,28,467,uac-113-program-results,moe-114-institution-directory
113,國立東華大學,公立,花蓮縣,50,877,uac-113-program-results,moe-114-institution-directory
113,國立清華大學,公立,新竹市,48,614,uac-113-program-results,moe-114-institution-directory
113,國立聯合大學,公立,苗栗縣,22,480,uac-113-program-results,moe-114-institution-directory
113,國立臺中教育大學,公立,臺中市,17,393,uac-113-program-results,moe-114-institution-directory
113,國立臺北大學,公立,新北市,20,651,uac-113-program-results,moe-114-institution-directory
113,國立臺北教育大學,公立,臺北市,21,354,uac-113-program-results,moe-114-institution-directory
113,國立臺南大學,公立,臺南市,23,479,uac-113-program-results,moe-114-institution-directory
113,國立臺南藝術大學,公立,臺南市,3,45,uac-113-program-results,moe-114-institution-directory
113,國立臺東大學,公立,臺東縣,21,226,uac-113-program-results,moe-114-institution-directory
113,國立臺灣大學,公立,臺北市,70,1507,uac-113-program-results,moe-114-institution-directory
113,國立臺灣師範大學,公立,臺北市,39,625,uac-113-program-results,moe-114-institution-directory
113,國立臺灣海洋大學,公立,基隆市,23,525,uac-113-program-results,moe-114-institution-directory
113,國立臺灣藝術大學,公立,新北市,15,224,uac-113-program-results,moe-114-institution-directory
113,國立臺灣體育運動大學,公立,臺中市,5,75,uac-113-program-results,moe-114-institution-directory
113,國立金門大學,公立,金門縣,20,224,uac-113-program-results,moe-114-institution-directory
113,國立陽明交通大學,公立,新竹市,41,616,uac-113-program-results,moe-114-institution-directory
113,國立體育大學,公立,桃園市,7,70,uac-113-program-results,moe-114-institution-directory
113,國立高雄大學,公立,高雄市,23,535,uac-113-program-results,moe-114-institution-directory
113,國立高雄師範大學,公立,高雄市,21,446,uac-113-program-results,moe-114-institution-directory
113,大同大學,私立,臺北市,23,262,uac-113-program-results,moe-114-institution-directory
113,大葉大學,私立,彰化縣,41,243,uac-113-program-results,moe-114-institution-directory
113,實踐大學,私立,臺北市,49,570,uac-113-program-results,moe-114-institution-directory
113,康寧大學,私立,臺北市,2,19,uac-113-program-results,moe-114-institution-directory
113,慈濟大學,私立,花蓮縣,17,148,uac-113-program-results,moe-114-institution-directory
113,東吳大學,私立,臺北市,24,1223,uac-113-program-results,moe-114-institution-directory
113,東海大學,私立,臺中市,48,1161,uac-113-program-results,moe-114-institution-directory
113,淡江大學,私立,新北市,47,1817,uac-113-program-results,moe-114-institution-directory
113,玄奘大學,私立,新竹市,8,7,uac-113-program-results,moe-114-institution-directory
113,真理大學,私立,新北市,25,63,uac-113-program-results,moe-114-institution-directory
113,義守大學,私立,高雄市,50,693,uac-113-program-results,moe-114-institution-directory
113,臺北市立大學,公立,臺北市,22,344,uac-113-program-results,moe-114-institution-directory
113,臺北醫學大學,私立,臺北市,16,273,uac-113-program-results,moe-114-institution-directory
113,輔仁大學,私立,新北市,58,1585,uac-113-program-results,moe-114-institution-directory
113,逢甲大學,私立,臺中市,41,854,uac-113-program-results,moe-114-institution-directory
113,銘傳大學,私立,臺北市,64,1380,uac-113-program-results,moe-114-institution-directory
113,長庚大學,私立,桃園市,24,484,uac-113-program-results,moe-114-institution-directory
113,長榮大學,私立,臺南市,34,335,uac-113-program-results,moe-114-institution-directory
113,靜宜大學,私立,臺中市,36,549,uac-113-program-results,moe-114-institution-directory
113,馬偕醫學院,私立,新北市,6,120,uac-113-program-results,moe-114-institution-directory
113,高雄醫學大學,私立,高雄市,22,551,uac-113-program-results,moe-114-institution-directory
114,世新大學,私立,臺北市,22,934,uac-114-program-results,moe-114-institution-directory
114,中原大學,私立,桃園市,39,572,uac-114-program-results,moe-114-institution-directory
114,中國文化大學,私立,臺北市,65,1255,uac-114-program-results,moe-114-institution-directory
114,中國醫藥大學,私立,臺中市,17,248,uac-114-program-results,moe-114-institution-directory
114,中山醫學大學,私立,臺中市,22,774,uac-114-program-results,moe-114-institution-directory
114,中華大學,私立,新竹市,18,264,uac-114-program-results,moe-114-institution-directory
114,亞洲大學,私立,臺中市,38,402,uac-114-program-results,moe-114-institution-directory
114,佛光大學,私立,宜蘭縣,21,68,uac-114-program-results,moe-114-institution-directory
114,元智大學,私立,桃園市,30,441,uac-114-program-results,moe-114-institution-directory
114,南華大學,私立,嘉義縣,21,102,uac-114-program-results,moe-114-institution-directory
114,國立中央大學,公立,桃園市,32,575,uac-114-program-results,moe-114-institution-directory
114,國立中山大學,公立,高雄市,38,436,uac-114-program-results,moe-114-institution-directory
114,國立中正大學,公立,嘉義縣,36,719,uac-114-program-results,moe-114-institution-directory
114,國立中興大學,公立,臺中市,43,837,uac-114-program-results,moe-114-institution-directory
114,國立嘉義大學,公立,嘉義市,43,1016,uac-114-program-results,moe-114-institution-directory
114,國立宜蘭大學,公立,宜蘭縣,15,227,uac-114-program-results,moe-114-institution-directory
114,國立屏東大學,公立,屏東縣,31,375,uac-114-program-results,moe-114-institution-directory
114,國立彰化師範大學,公立,彰化縣,24,514,uac-114-program-results,moe-114-institution-directory
114,國立成功大學,公立,臺南市,50,1384,uac-114-program-results,moe-114-institution-directory
114,國立政治大學,公立,臺北市,45,1069,uac-114-program-results,moe-114-institution-directory
114,國立暨南國際大學,公立,南投縣,28,382,uac-114-program-results,moe-114-institution-directory
114,國立東華大學,公立,花蓮縣,51,777,uac-114-program-results,moe-114-institution-directory
114,國立清華大學,公立,新竹市,49,531,uac-114-program-results,moe-114-institution-directory
114,國立聯合大學,公立,苗栗縣,20,438,uac-114-program-results,moe-114-institution-directory
114,國立臺中教育大學,公立,臺中市,18,336,uac-114-program-results,moe-114-institution-directory
114,國立臺北大學,公立,新北市,20,564,uac-114-program-results,moe-114-institution-directory
114,國立臺北教育大學,公立,臺北市,21,348,uac-114-program-results,moe-114-institution-directory
114,國立臺南大學,公立,臺南市,23,456,uac-114-program-results,moe-114-institution-directory
114,國立臺南藝術大學,公立,臺南市,3,58,uac-114-program-results,moe-114-institution-directory
114,國立臺東大學,公立,臺東縣,20,219,uac-114-program-results,moe-114-institution-directory
114,國立臺灣大學,公立,臺北市,68,1468,uac-114-program-results,moe-114-institution-directory
114,國立臺灣師範大學,公立,臺北市,39,588,uac-114-program-results,moe-114-institution-directory
114,國立臺灣海洋大學,公立,基隆市,23,404,uac-114-program-results,moe-114-institution-directory
114,國立臺灣藝術大學,公立,新北市,14,205,uac-114-program-results,moe-114-institution-directory
114,國立臺灣體育運動大學,公立,臺中市,5,65,uac-114-program-results,moe-114-institution-directory
114,國立金門大學,公立,金門縣,20,233,uac-114-program-results,moe-114-institution-directory
114,國立陽明交通大學,公立,新竹市,41,541,uac-114-program-results,moe-114-institution-directory
114,國立體育大學,公立,桃園市,7,65,uac-114-program-results,moe-114-institution-directory
114,國立高雄大學,公立,高雄市,23,471,uac-114-program-results,moe-114-institution-directory
114,國立高雄師範大學,公立,高雄市,21,389,uac-114-program-results,moe-114-institution-directory
114,大同大學,私立,臺北市,20,215,uac-114-program-results,moe-114-institution-directory
114,大葉大學,私立,彰化縣,36,245,uac-114-program-results,moe-114-institution-directory
114,實踐大學,私立,臺北市,43,563,uac-114-program-results,moe-114-institution-directory
114,康寧大學,私立,臺北市,2,12,uac-114-program-results,moe-114-institution-directory
114,慈濟大學,私立,花蓮縣,21,180,uac-114-program-results,moe-114-institution-directory
114,東吳大學,私立,臺北市,25,1096,uac-114-program-results,moe-114-institution-directory
114,東海大學,私立,臺中市,44,1010,uac-114-program-results,moe-114-institution-directory
114,淡江大學,私立,新北市,47,1735,uac-114-program-results,moe-114-institution-directory
114,玄奘大學,私立,新竹市,7,13,uac-114-program-results,moe-114-institution-directory
114,真理大學,私立,新北市,17,134,uac-114-program-results,moe-114-institution-directory
114,義守大學,私立,高雄市,39,684,uac-114-program-results,moe-114-institution-directory
114,臺北市立大學,公立,臺北市,22,326,uac-114-program-results,moe-114-institution-directory
114,臺北醫學大學,私立,臺北市,16,254,uac-114-program-results,moe-114-institution-directory
114,輔仁大學,私立,新北市,58,1431,uac-114-program-results,moe-114-institution-directory
114,逢甲大學,私立,臺中市,44,717,uac-114-program-results,moe-114-institution-directory
114,銘傳大學,私立,臺北市,60,1176,uac-114-program-results,moe-114-institution-directory
114,長庚大學,私立,桃園市,24,496,uac-114-program-results,moe-114-institution-directory
114,長榮大學,私立,臺南市,32,346,uac-114-program-results,moe-114-institution-directory
114,靜宜大學,私立,臺中市,38,525,uac-114-program-results,moe-114-institution-directory
114,馬偕醫學院,私立,新北市,6,131,uac-114-program-results,moe-114-institution-directory
114,高雄醫學大學,私立,高雄市,22,458,uac-114-program-results,moe-114-institution-directory
115,世新大學,私立,臺北市,22,823,uac-115-program-results,moe-114-institution-directory
115,中原大學,私立,桃園市,40,557,uac-115-program-results,moe-114-institution-directory
115,中國文化大學,私立,臺北市,64,1263,uac-115-program-results,moe-114-institution-directory
115,中國醫藥大學,私立,臺中市,17,309,uac-115-program-results,moe-114-institution-directory
115,中山醫學大學,私立,臺中市,22,818,uac-115-program-results,moe-114-institution-directory
115,亞洲大學,私立,臺中市,37,408,uac-115-program-results,moe-114-institution-directory
115,佛光大學,私立,宜蘭縣,19,46,uac-115-program-results,moe-114-institution-directory
115,元智大學,私立,桃園市,31,466,uac-115-program-results,moe-114-institution-directory
115,南華大學,私立,嘉義縣,19,125,uac-115-program-results,moe-114-institution-directory
115,國立中央大學,公立,桃園市,34,618,uac-115-program-results,moe-114-institution-directory
115,國立中山大學,公立,高雄市,38,463,uac-115-program-results,moe-114-institution-directory
115,國立中正大學,公立,嘉義縣,36,750,uac-115-program-results,moe-114-institution-directory
115,國立中興大學,公立,臺中市,43,880,uac-115-program-results,moe-114-institution-directory
115,國立嘉義大學,公立,嘉義市,43,1045,uac-115-program-results,moe-114-institution-directory
115,國立宜蘭大學,公立,宜蘭縣,15,180,uac-115-program-results,moe-114-institution-directory
115,國立屏東大學,公立,屏東縣,32,348,uac-115-program-results,moe-114-institution-directory
115,國立彰化師範大學,公立,彰化縣,24,526,uac-115-program-results,moe-114-institution-directory
115,國立成功大學,公立,臺南市,52,1367,uac-115-program-results,moe-114-institution-directory
115,國立政治大學,公立,臺北市,45,977,uac-115-program-results,moe-114-institution-directory
115,國立暨南國際大學,公立,南投縣,28,373,uac-115-program-results,moe-114-institution-directory
115,國立東華大學,公立,花蓮縣,51,699,uac-115-program-results,moe-114-institution-directory
115,國立清華大學,公立,新竹市,48,500,uac-115-program-results,moe-114-institution-directory
115,國立聯合大學,公立,苗栗縣,21,451,uac-115-program-results,moe-114-institution-directory
115,國立臺中教育大學,公立,臺中市,18,331,uac-115-program-results,moe-114-institution-directory
115,國立臺北大學,公立,新北市,20,582,uac-115-program-results,moe-114-institution-directory
115,國立臺北教育大學,公立,臺北市,22,381,uac-115-program-results,moe-114-institution-directory
115,國立臺南大學,公立,臺南市,23,447,uac-115-program-results,moe-114-institution-directory
115,國立臺南藝術大學,公立,臺南市,3,57,uac-115-program-results,moe-114-institution-directory
115,國立臺東大學,公立,臺東縣,21,239,uac-115-program-results,moe-114-institution-directory
115,國立臺灣大學,公立,臺北市,69,1480,uac-115-program-results,moe-114-institution-directory
115,國立臺灣師範大學,公立,臺北市,39,575,uac-115-program-results,moe-114-institution-directory
115,國立臺灣海洋大學,公立,基隆市,23,458,uac-115-program-results,moe-114-institution-directory
115,國立臺灣藝術大學,公立,新北市,14,199,uac-115-program-results,moe-114-institution-directory
115,國立臺灣體育運動大學,公立,臺中市,5,65,uac-115-program-results,moe-114-institution-directory
115,國立金門大學,公立,金門縣,20,185,uac-115-program-results,moe-114-institution-directory
115,國立陽明交通大學,公立,新竹市,41,612,uac-115-program-results,moe-114-institution-directory
115,國立體育大學,公立,桃園市,7,66,uac-115-program-results,moe-114-institution-directory
115,國立高雄大學,公立,高雄市,23,508,uac-115-program-results,moe-114-institution-directory
115,國立高雄師範大學,公立,高雄市,22,396,uac-115-program-results,moe-114-institution-directory
115,大同大學,私立,臺北市,19,220,uac-115-program-results,moe-114-institution-directory
115,大葉大學,私立,彰化縣,32,161,uac-115-program-results,moe-114-institution-directory
115,實踐大學,私立,臺北市,43,532,uac-115-program-results,moe-114-institution-directory
115,康寧大學,私立,臺北市,2,15,uac-115-program-results,moe-114-institution-directory
115,慈濟大學,私立,花蓮縣,19,163,uac-115-program-results,moe-114-institution-directory
115,東吳大學,私立,臺北市,24,1098,uac-115-program-results,moe-114-institution-directory
115,東海大學,私立,臺中市,45,980,uac-115-program-results,moe-114-institution-directory
115,淡江大學,私立,新北市,47,1766,uac-115-program-results,moe-114-institution-directory
115,玄奘大學,私立,新竹市,7,20,uac-115-program-results,moe-114-institution-directory
115,真理大學,私立,新北市,14,90,uac-115-program-results,moe-114-institution-directory
115,義守大學,私立,高雄市,34,647,uac-115-program-results,moe-114-institution-directory
115,臺北市立大學,公立,臺北市,22,316,uac-115-program-results,moe-114-institution-directory
115,臺北醫學大學,私立,臺北市,15,271,uac-115-program-results,moe-114-institution-directory
115,輔仁大學,私立,新北市,60,1403,uac-115-program-results,moe-114-institution-directory
115,逢甲大學,私立,臺中市,44,759,uac-115-program-results,moe-114-institution-directory
115,銘傳大學,私立,臺北市,66,1206,uac-115-program-results,moe-114-institution-directory
115,長庚大學,私立,桃園市,23,462,uac-115-program-results,moe-114-institution-directory
115,長榮大學,私立,臺南市,33,316,uac-115-program-results,moe-114-institution-directory
115,靜宜大學,私立,臺中市,37,600,uac-115-program-results,moe-114-institution-directory
115,馬偕醫學大學,私立,新北市,6,154,uac-115-program-results,moe-114-institution-directory
115,高雄醫學大學,私立,高雄市,21,505,uac-115-program-results,moe-114-institution-directory
